Lens ID,Publication Year
012-417-214-411-155,2013
012-417-408-535-551,2006
012-432-595-755-909,2020
012-436-431-296-804,2012
012-448-599-629-252,2009
012-483-681-088-735,2016
012-502-524-306-744,2020
012-569-829-787-039,2019
012-624-649-566-836,2017
012-650-953-310-906,2014
012-696-881-394-816,2019
012-729-621-250-419,2020
012-801-671-216-933,2021
012-804-795-188-173,2021
012-814-321-257-236,2006
012-869-003-053-420,2020
012-897-189-716-939,2017
012-936-969-150-584,2021
012-965-292-870-194,2009
012-983-320-739-492,2011
012-989-632-472-878,2017
013-004-105-919-76X,2021
013-025-819-017-111,2016
013-084-024-095-001,2015
013-096-522-800-648,2016
013-100-881-422-983,2013
013-198-432-383-93X,2019
013-261-270-632-962,2020
013-288-336-730-910,2018
013-359-631-333-366,2019
013-389-408-196-263,2018
013-428-262-494-768,2014
013-450-628-589-00X,2011
013-488-464-857-488,2014
013-512-756-391-023,2013
013-547-989-481-388,2020
013-578-922-824-296,2009
013-582-945-982-045,2021
013-589-465-834-328,2020
013-606-340-113-457,2019
013-624-382-606-697,2021
013-638-978-754-911,2018
013-657-438-393-354,2015
013-663-750-123-480,2021
013-665-451-968-968,2013
013-679-902-599-012,2015
013-704-539-993-120,2020
013-708-771-910-893,2017
013-716-666-989-739,2016
013-733-356-078-870,2021
013-748-146-414-41X,2021
013-748-190-574-787,2013
013-766-744-156-560,2019
013-767-501-288-571,2003
013-799-386-198-795,2012
013-880-983-731-488,2021
013-903-759-756-671,2015
014-034-213-650-538,2021
014-138-112-621-726,2018
014-168-313-147-984,2016
014-279-342-032-571,2020
014-301-655-807-524,2011
014-302-778-566-243,2010
014-306-678-664-506,2019
014-367-051-781-564,2018
014-389-065-519-396,2021
014-395-277-911-34X,2015
014-407-027-808-011,2015
014-417-497-919-76X,2019
014-436-760-950-056,2017
014-454-449-751-811,2014
014-464-447-358-142,2015
014-479-147-819-72X,2017
014-494-346-214-040,2012
014-503-152-087-735,2016
014-509-467-721-806,2012
014-530-964-021-268,2020
014-610-722-381-033,2014
014-613-876-570-754,2015
014-625-120-007-724,2017
014-630-843-411-591,2015
014-652-961-318-096,2014
014-661-403-017-63X,2018
014-688-806-405-733,2008
014-728-298-054-554,2008
014-782-213-521-414,2021
014-789-822-619-734,2016
014-852-424-730-524,2020
014-880-508-713-500,2018
014-913-914-400-348,2011
014-948-502-227-446,2015
014-970-260-324-921,2017
015-013-726-939-074,1992
015-046-946-599-439,2017
015-064-234-090-967,2020
015-199-713-794-150,2018
015-221-820-767-674,2019
015-261-204-541-598,2020
015-285-626-205-128,2021
015-287-780-103-946,2013
015-305-797-362-318,2021
015-347-943-944-048,2007
015-370-600-475-548,2020
015-408-916-982-993,
015-435-003-568-206,2018
015-448-637-234-606,
015-466-303-716-081,2018
015-482-928-396-583,2019
015-485-184-419-132,2020
015-490-645-913-050,2006
015-501-327-459-201,2009
015-503-622-164-456,2019
015-510-822-369-443,2007
015-538-181-236-927,2021
015-545-478-398-279,2021
015-550-652-927-196,2020
015-564-476-057-175,2019
015-571-647-619-714,2014
015-580-758-155-777,2013
015-637-610-150-210,2021
015-643-425-797-726,2020
015-649-022-712-123,2012
015-701-354-560-31X,2021
015-712-578-725-703,2006
015-716-342-658-59X,2013
015-833-082-476-53X,2012
015-863-742-060-888,2021
015-869-102-546-473,2016
015-952-908-056-85X,2019
015-964-477-679-657,2018
015-992-146-787-133,2020
016-019-510-849-188,2015
016-113-931-342-028,2018
016-145-030-490-249,2009
016-145-551-064-325,2016
016-191-669-025-046,1989
016-203-274-494-88X,2021
016-210-263-347-214,2013
016-258-727-473-685,2002
016-263-754-356-931,2014
016-277-777-630-902,2019
016-286-147-468-634,2020
016-290-917-681-071,1998
016-329-472-379-464,2015
016-420-268-825-41X,2018
016-426-709-931-937,2020
016-448-009-002-640,2021
016-501-170-612-285,2019
016-507-629-218-802,2020
016-554-984-888-327,2021
016-566-252-348-753,2017
016-619-919-365-989,2011
016-630-541-379-373,2015
016-650-544-929-084,2019
016-668-109-855-231,2011
016-770-578-036-192,2009
016-780-077-500-70X,2021
016-795-822-080-971,2019
016-811-413-759-489,2007
016-811-778-429-327,2016
016-815-618-294-062,1999
016-818-790-866-177,2012
016-835-202-323-075,2009
016-844-852-805-505,2012
016-891-912-961-06X,2017
016-922-671-028-867,2015
016-946-459-430-302,2020
017-004-763-719-925,2017
017-065-258-974-617,2020
017-233-130-875-775,2020
017-273-916-746-015,2020
017-295-260-185-071,2014
017-322-788-100-292,2017
017-345-051-137-797,2013
017-357-179-028-248,2012
017-365-378-486-428,2012
017-373-158-191-409,2021
017-381-428-037-322,2021
017-383-027-900-841,2015
017-402-950-090-062,2006
017-407-024-139-35X,2016
017-438-507-234-273,2018
017-586-198-385-274,2020
017-637-368-942-297,2011
017-668-234-141-189,2020
017-675-093-993-016,2020
017-680-706-870-825,2011
017-695-451-772-634,2020
017-697-150-423-712,2020
017-772-207-623-721,2021
017-861-480-606-089,2015
017-877-469-673-666,2016
017-886-848-708-421,2019
017-909-840-929-907,2016
017-956-696-949-875,2013
018-019-883-325-056,2020
018-086-726-099-948,2017
018-113-205-434-30X,2015
018-203-981-944-766,2018
018-219-732-374-56X,2012
018-233-545-291-436,1992
018-234-900-834-728,2019
018-240-110-389-181,2006
018-331-421-605-009,2019
018-352-823-751-255,2021
018-358-311-023-34X,2019
018-387-109-165-072,2020
018-389-108-528-619,2015
018-403-354-552-807,2018
018-426-231-696-925,2014
018-443-555-777-179,2016
018-451-624-579-388,2016
018-454-267-871-420,2016
018-546-017-052-615,2021
018-693-922-135-883,2015
018-799-462-672-762,2019
018-803-740-718-089,2015
018-807-960-130-533,2006
018-839-371-633-219,2019
018-867-881-431-439,2019
018-926-110-580-521,2013
018-947-630-555-592,2019
018-960-655-391-957,2015
018-962-300-356-924,2017
018-993-451-462-806,2020
019-013-864-855-819,2012
019-053-730-305-375,2020
019-077-575-869-328,2017
019-137-288-456-856,2014
019-156-469-848-393,2019
019-250-918-945-342,2021
019-262-649-558-018,2019
019-289-722-128-891,2017
019-344-249-137-723,2017
019-354-044-776-176,2007
019-356-260-983-988,2019
019-400-806-567-931,2008
019-409-347-351-138,2018
019-417-617-211-478,2019
019-439-942-663-889,2021
019-443-126-985-398,2013
019-445-276-445-329,2012
019-457-482-389-32X,2017
019-482-461-348-267,2021
019-482-740-866-091,2018
019-505-284-563-079,2000
019-515-296-154-001,2020
019-531-823-146-223,2017
019-553-832-117-907,2016
019-567-166-271-861,2019
019-633-907-906-514,2018
019-737-264-780-140,2015
019-745-867-683-227,2021
019-762-358-187-473,2016
019-911-527-257-396,2020
019-928-816-402-511,2016
020-004-768-814-882,2017
020-076-520-299-63X,2013
020-115-178-242-388,2016
020-125-223-520-500,2018
020-133-601-635-963,2019
020-169-654-052-117,2018
020-215-335-746-116,2020
020-245-043-673-186,2018
020-258-990-166-812,2019
020-327-588-464-965,2017
020-359-235-860-213,2019
020-369-687-860-571,2019
020-397-180-503-936,
020-471-731-135-301,1997
020-526-728-061-204,2015
020-552-309-446-221,2019
020-582-733-740-62X,2006
020-595-986-447-125,2016
020-619-212-376-523,2006
020-623-382-813-185,2020
020-659-443-957-444,2021
020-671-123-364-174,2020
020-672-371-668-980,2006
020-685-409-863-363,2000
020-706-873-964-248,2017
020-753-163-668-374,2020
020-780-165-619-510,2014
020-783-960-014-805,
020-785-495-144-514,2018
020-793-130-884-392,2017
020-800-531-423-928,2019
020-822-873-770-580,2019
020-843-431-734-964,2015
020-928-555-783-12X,2013
020-935-611-076-91X,2010
020-967-743-511-457,2018
020-987-062-641-596,2019
021-002-506-835-840,2021
021-035-639-417-192,2013
021-087-239-984-512,2019
021-122-029-769-559,2021
021-142-316-060-129,2004
021-149-754-047-858,2019
021-170-652-085-163,2015
021-174-584-716-100,2020
021-237-796-041-059,2015
021-349-122-747-975,2020
021-372-253-109-16X,2018
021-379-140-151-507,2013
021-496-400-323-110,2017
021-498-396-310-737,2015
021-530-776-405-663,2021
021-538-494-501-16X,2017
021-546-154-413-956,2000
021-556-675-089-302,2009
021-578-517-091-13X,2019
021-588-887-276-27X,2016
021-594-819-531-778,2018
021-625-423-837-745,2018
021-651-341-547-751,2017
021-693-168-003-632,2015
021-706-544-658-385,2020
021-760-679-914-080,2021
021-764-451-401-260,2016
021-834-322-679-937,2013
021-856-263-778-616,2016
021-891-988-121-009,2017
021-944-444-183-638,2012
021-986-021-765-404,2020
021-996-512-165-605,2021
022-066-758-792-356,2019
022-077-235-347-716,2017
022-084-900-343-738,2018
022-094-041-199-932,2018
022-098-274-447-94X,2021
022-118-795-241-539,2018
022-129-784-058-214,2011
022-134-037-379-993,2009
022-145-473-550-72X,2021
022-221-937-756-198,2021
022-249-750-629-759,2021
022-271-142-410-076,2019
022-315-546-070-348,2017
022-331-728-700-603,2014
022-353-761-491-097,2019
022-371-409-900-903,2007
022-400-315-137-345,2007
022-432-969-320-372,2013
022-469-583-251-991,2013
022-471-350-406-502,2013
022-477-559-436-216,2020
022-497-325-849-091,2017
022-520-396-131-119,2020
022-550-630-320-872,2021
022-645-943-990-561,2020
022-704-976-824-399,2016
022-708-777-533-44X,2006
022-719-830-641-583,2021
022-767-409-378-925,2016
022-786-076-739-270,2015
022-791-813-312-573,2015
022-794-436-073-389,2017
022-827-834-767-405,2014
022-887-838-833-11X,2012
022-896-730-646-253,2019
022-898-110-247-883,2017
022-938-959-551-896,2019
022-948-783-029-808,2014
022-976-150-605-05X,2021
023-178-341-831-682,1994
023-190-469-656-053,1997
023-198-503-311-486,2013
023-315-220-174-442,2020
023-380-171-084-379,2011
023-432-678-548-20X,2008
023-510-620-676-429,2009
023-521-056-010-477,2018
023-592-215-577-904,2021
023-663-208-021-719,2021
023-678-197-684-980,2019
023-711-986-397-433,2012
023-725-666-497-811,2011
023-734-669-389-01X,
023-834-912-608-98X,2009
023-836-005-179-017,2014
023-892-085-878-251,2015
023-905-354-965-362,2019
024-003-012-976-268,2017
024-023-515-550-240,2019
024-038-723-342-376,2018
024-048-273-710-23X,2018
024-111-837-352-060,2021
024-136-877-763-498,2014
024-158-313-805-258,2019
024-164-212-163-939,2012
024-207-152-677-977,2021
024-366-300-567-365,2016
024-491-777-079-150,2018
024-516-136-973-505,2018
024-521-061-937-097,2011
024-538-656-720-955,2013
024-611-179-976-146,2012
024-627-042-890-532,2012
024-672-359-488-00X,2019
024-688-922-602-980,2010
024-727-335-122-260,2012
024-770-693-921-509,2015
024-773-742-244-641,2021
024-825-483-848-679,2019
024-862-874-070-633,2017
024-863-247-771-849,2008
024-867-636-556-593,2021
024-889-159-546-305,2017
024-906-602-538-441,2015
024-917-567-489-050,2014
024-941-507-973-043,2018
024-955-890-328-465,2019
024-989-191-595-789,2020
024-998-487-455-675,2019
025-014-807-334-744,2013
025-021-065-579-376,2017
025-032-344-370-499,2021
025-033-679-661-68X,2016
025-060-428-499-79X,2021
025-081-866-065-521,2015
025-207-286-592-131,2017
025-210-967-284-799,2020
025-218-166-707-903,2018
025-224-359-019-104,2018
025-227-093-554-305,2020
025-259-372-189-52X,2016
025-331-603-392-853,2016
025-348-854-463-813,2015
025-413-087-768-197,2015
025-461-075-860-646,2021
025-516-230-801-933,2020
