Lens ID,Publication Year
003-048-619-389-964,2017
003-051-772-294-803,2018
003-057-167-814-193,2020
003-062-368-307-928,2016
003-063-555-518-194,2015
003-070-169-792-633,2015
003-074-330-977-617,2020
003-087-848-109-569,2016
003-099-346-785-91X,2016
003-104-780-969-643,2019
003-119-987-965-051,2013
003-132-825-461-324,2020
003-135-776-578-588,2016
003-136-024-891-314,2013
003-137-518-106-78X,2018
003-141-513-345-37X,1988
003-169-057-664-311,2012
003-175-994-766-145,2017
003-178-287-035-873,2016
003-184-724-517-661,2013
003-189-282-726-927,2019
003-194-104-305-034,2016
003-207-355-554-641,2020
003-212-178-060-961,2012
003-213-128-018-532,2018
003-218-025-323-748,2019
003-220-478-029-018,2007
003-227-533-970-655,2015
003-231-514-987-883,2020
003-234-610-392-170,2016
003-246-277-787-555,2019
003-266-827-618-990,2018
003-302-534-343-618,2017
003-332-961-777-91X,2019
003-351-968-306-655,2016
003-393-677-742-17X,2014
003-397-060-180-793,2020
003-402-044-051-493,2012
003-404-389-381-702,2021
003-409-328-753-835,2014
003-423-888-012-34X,2016
003-424-691-344-230,2019
003-425-831-999-912,2020
003-430-105-428-484,2013
003-432-579-497-974,2019
003-441-009-454-141,2015
003-448-780-397-39X,2017
003-457-902-155-757,2021
003-474-543-328-584,2021
003-477-563-618-945,2013
003-478-228-002-62X,2021
003-480-235-628-789,2016
003-482-122-719-034,2016
003-483-184-973-85X,2011
003-485-050-190-840,2016
003-491-757-283-62X,2017
003-498-731-328-49X,
003-514-127-839-266,2019
003-522-648-890-948,2018
003-528-831-976-691,2012
003-546-455-699-676,2019
003-569-969-319-791,2019
003-571-404-537-743,2017
003-575-562-001-870,2015
003-580-473-064-024,2019
003-589-610-365-466,2017
003-592-061-003-362,2021
003-595-387-988-492,2019
003-596-649-027-347,2021
003-606-752-931-402,2015
003-610-719-744-463,2020
003-612-294-843-405,2017
003-620-864-224-287,2020
003-624-991-822-077,2019
003-629-454-887-118,2019
003-632-273-866-18X,2019
003-639-277-504-102,2019
003-641-148-451-684,2018
003-656-089-340-117,2013
003-678-104-054-475,2021
003-682-032-400-755,2014
003-697-657-918-425,2014
003-699-024-526-690,2019
003-713-236-620-409,2021
003-738-546-665-232,2016
003-740-364-037-991,2016
003-755-639-986-865,2015
003-778-420-101-622,2012
003-779-934-884-024,2020
003-780-396-456-257,2017
003-780-628-070-303,2014
003-789-553-357-57X,
003-790-889-894-895,2018
003-798-874-133-221,2020
003-824-208-711-049,2020
003-833-227-816-561,2019
003-867-527-231-288,2019
003-869-675-431-408,2017
003-871-900-632-525,2016
003-891-920-339-666,2014
003-909-097-155-571,2016
003-915-870-418-262,2019
003-918-579-652-129,2015
003-923-427-767-724,2012
003-941-535-851-260,2013
003-946-131-434-543,2020
003-982-636-916-650,2019
003-986-547-484-030,2018
003-997-290-983-101,2015
004-005-073-007-544,2014
004-006-761-573-739,2017
004-007-229-771-880,2018
004-012-939-791-241,2015
004-020-453-700-338,2017
004-027-120-406-669,2013
004-027-456-598-166,2012
004-039-101-667-773,2013
004-050-278-584-858,2015
004-050-608-246-799,2016
004-052-772-988-531,2021
004-064-370-990-178,2020
004-070-445-482-065,2013
004-079-954-362-927,2021
004-086-658-885-120,2015
004-101-378-265-624,2019
004-103-920-368-068,2013
004-111-466-340-320,2018
004-123-552-116-729,2019
004-125-671-986-101,2013
004-128-374-138-193,2018
004-138-857-138-197,2021
004-176-053-403-853,2020
004-178-776-713-07X,2018
004-187-747-753-771,2020
004-192-461-997-558,2017
004-196-502-048-34X,2021
004-197-072-273-647,2019
004-198-259-066-01X,2011
004-201-306-484-922,2011
004-210-817-610-489,2019
004-217-355-217-974,2014
004-233-958-083-231,2021
004-241-240-201-606,2017
004-243-531-659-288,2018
004-262-817-787-473,2018
004-266-847-333-403,2016
004-271-943-585-818,2016
004-280-261-036-47X,2019
004-281-001-038-166,2014
004-284-130-779-458,2017
004-290-837-757-237,2016
004-297-420-977-295,2019
004-315-560-951-093,2016
004-317-195-839-501,2017
004-331-427-751-48X,2018
004-339-576-873-460,2014
004-341-990-934-882,2019
004-345-281-570-455,2013
004-353-492-400-173,2018
004-366-997-815-668,2014
004-371-979-707-176,2019
004-387-752-438-457,2019
004-389-218-197-592,2016
004-400-745-903-414,2019
004-411-309-123-984,2014
004-415-565-026-321,2017
004-420-424-072-312,2019
004-424-983-072-528,2019
004-426-170-607-328,2019
004-432-471-759-561,2021
004-440-606-159-695,2019
004-466-570-967-855,2015
004-473-221-715-284,2018
004-475-179-252-595,2006
004-478-163-677-808,2021
004-485-072-351-71X,2018
